text,id,break_after,required,type,options
EXPERIMENTER: Please enter the subject number:,0,true,true,text-field-small,"[""Yes"", ""No""]"
EXPERIMENTER: What is the subject's group number?,0,true,true,single-select,"[""Group 1: SL, NB"", ""Group 2: SL, B""]"
Do you understand and agree with the instructions?,0,true,true,single-select,"[""I understand and agree with the instructions above.""]"
Is our moon larger than Jupiter's moon Europa?,1,true,true,single-select,"[""Yes"", ""No""]"
Does Canada have a greater land area than the U.S.?,2,true,true,single-select,"[""Yes"", ""No""]"
"According the the 2010 U.S. Census, were there more men than women living in the United States?",3,true,true,single-select,"[""Yes"", ""No""]"
"According the the 2010 U.S. Census, were there more people under the age of 18 than 25-44?",4,true,true,single-select,"[""Yes"", ""No""]"
Is the peak of Mount Everest the highest above sea level than any other mountain?,5,true,true,single-select,"[""Yes"", ""No""]"
Is Mount Everest the tallest mountain in the world when measured from base to summit?,6,true,true,single-select,"[""Yes"", ""No""]"
Is the Nile River the longest river in the world?,7,true,true,single-select,"[""Yes"", ""No""]"
Was the United States the first country to successfully land a man on the moon?,8,true,true,single-select,"[""Yes"", ""No""]"
Is Puerto Rico its own independent nation?,9,true,true,single-select,"[""Yes"", ""No""]"
Was the Soviet Union one of the Axis powers during World War II?,10,true,true,single-select,"[""Yes"", ""No""]"
Was Massachusetts the first state formed in the United States?,11,true,true,single-select,"[""Yes"", ""No""]"
Did the United States have 50 states at the end of World War II?,12,true,true,single-select,"[""Yes"", ""No""]"
"According to the American Kennel Club, are Labrador Retreivers the most popular dog breed in the United States in 2016?",13,true,true,single-select,"[""Yes"", ""No""]"
Was the company Ebay.com founded before Amazon.com?,14,true,true,single-select,"[""Yes"", ""No""]"
Was President Barack Obama the first African American President in U.S. history?,15,true,true,single-select,"[""Yes"", ""No""]"
Is Mark Zuckerburg the current CEO of Facebook.com?,16,true,true,single-select,"[""Yes"", ""No""]"
Is Kansas City the capitol of Kansas?,17,true,true,single-select,"[""Yes"", ""No""]"
Is Chicago the capitol of Illinois?,18,true,true,single-select,"[""Yes"", ""No""]"
Did the TV show American Idol run for more than 10 seasons?,19,true,true,single-select,"[""Yes"", ""No""]"
Did WalMart report a higher revenue than Amazon.com in 2015?,20,true,true,single-select,"[""Yes"", ""No""]"
Was Joe Biden less than 35 years old when he was first elected as a U.S. Senator?,21,true,true,single-select,"[""Yes"", ""No""]"
Did more than half of the Fortune 500 companies recruit at the University of Illinois at Urbana-Champaign in 2010-11?,22,true,true,single-select,"[""Yes"", ""No""]"
Have there been more than 4 earthquakes in the U.S. within the last 3 years with a magnitude greater than 6 in the Richter scale?,23,true,true,single-select,"[""Yes"", ""No""]"
Does the text of Lincoln's Gettysburg address contain an even number of words?,24,true,true,single-select,"[""Yes"", ""No""]"
Does more than half of Toyota worldwide sales belong to the North American region?,25,true,true,single-select,"[""Yes"", ""No""]"
Is Illinois among the top 20 states in the U.S. in terms of area?,26,true,true,single-select,"[""Yes"", ""No""]"
Was United Airlines founded after World War II?,27,true,true,single-select,"[""Yes"", ""No""]"
Was the average travel time to work in Illinois among workers aged 16+ from 2007-2011 higher than the nationwide average?,28,true,true,single-select,"[""Yes"", ""No""]"
Does the U.S. government spend more than 4% of its budget on foreign aid?,29,true,true,single-select,"[""Yes"", ""No""]"
Are there currently more than 6 monarchies in Europe?,30,true,true,single-select,"[""Yes"", ""No""]"
Is Arizona larger than Nevada in terms of area?,31,true,true,single-select,"[""Yes"", ""No""]"
Did Liam Neeson win an Academy Award for best actor for his role in Schindler's List?,32,true,true,single-select,"[""Yes"", ""No""]"
Was the GDP (Gross Domestic Product) of Switzerland less than the GDP of Australia in 2011?,33,true,true,single-select,"[""Yes"", ""No""]"
"Was the monthly average for a 30-year fixed mortgage rate on December, 30th 2012 less than 2.9%?",34,true,true,single-select,"[""Yes"", ""No""]"
"Do solo travelers, those who travel with no companions, comprise more than 30% of all U.S. adult leisure travelers?",35,true,true,single-select,"[""Yes"", ""No""]"
Was the French military involved in the 2011 Libyan conflict?,36,true,true,single-select,"[""Yes"", ""No""]"
Have more than 50 Americans ever been in space in the last 40 years?,37,true,true,single-select,"[""Yes"", ""No""]"
Did World War I end in 1918?,38,true,true,single-select,"[""Yes"", ""No""]"
"Is the all-time high temperature in the month of January in Champaign, Illinois above 64 degrees Fahrenheit?",39,true,true,single-select,"[""Yes"", ""No""]"
Is the number of courses offered in University of Illinois at Urbana-Champaign more than 1500?,40,true,true,single-select,"[""Yes"", ""No""]"
Did the Great Chicago Fire occur after 1900?,41,true,true,single-select,"[""Yes"", ""No""]"
Was James Monroe the fifth U.S. President?,42,true,true,single-select,"[""Yes"", ""No""]"
Does France share a border with Poland?,43,true,true,single-select,"[""Yes"", ""No""]"
Was Chicago's yearly total precipitation greater in 1990 than in 1991?,44,true,true,single-select,"[""Yes"", ""No""]"
Is the number of daily visitors to the Illini Union less than 5000?,45,true,true,single-select,"[""Yes"", ""No""]"
"Is the MSRP for a new 2013 Honda Accord with standard features greater than $18,000?",46,true,true,single-select,"[""Yes"", ""No""]"
Is Massachusetts larger than Greece in terms of area?,47,true,true,single-select,"[""Yes"", ""No""]"
Did Wisconsin lose the Rose Bowl in January 2012?,48,true,true,single-select,"[""Yes"", ""No""]"
Have more than 5 women won the Nobel Prize since the beginning of this award?,49,true,true,single-select,"[""Yes"", ""No""]"
Was economics among the original fields for which a Nobel Prize was awarded?,50,true,true,single-select,"[""Yes"", ""No""]"
Did the U.S. win the most total number of medals in the 2012 Summer Olympics?,51,true,true,single-select,"[""Yes"", ""No""]"
Was Bill Clinton ever a governor of Kentucky?,52,true,true,single-select,"[""Yes"", ""No""]"
Is Texas the largest U.S. state in terms of area?,53,true,true,single-select,"[""Yes"", ""No""]"
"Does the Willis Tower, formerly known as the Sears Tower, have more than 70 floors?",54,true,true,single-select,"[""Yes"", ""No""]"
Does the Mississippi river either border or cut through 7 or more states?,55,true,true,single-select,"[""Yes"", ""No""]"